,artist
966,Danilo Cutrim
967,Frederico Heliodoro
968,Cristiano Quevedo
969,Grupo Semente
970,Sapão
971,Netos de Dona Neves
972,Netto D'Souza
973,Marisa Rossi
974,Georgette
975,Oswaldo Bezerra
976,Cour T.
977,Banda Fruto Sensual
978,Oswaldinho
979,Orquestra Da Terra
980,Dead Lover's Twisted Heart
981,DJ VS ORIGINAL
982,John Kip
983,Nego Bala
984,Simona Talma
985,Os Alquimistas
986,Gui Rebustini
987,Guilherme Coutinho
988,Ara Macao
989,Rod Rossi
990,Banda Amigas do Brega
991,O Quarteto
992,Re-Volt
993,Electro Côco
994,DJ TS
995,Ganeshas
996,Os Mirins
997,Fancy Pants and the Cellphones
998,Remobília
999,Sergio Mendes and Brasil '65
1000,Gilson
1001,Jonathan Costa
1002,2ZDinizz
1003,Love Bazucas
1004,Soprü
1005,Mariana de Moraes
1006,Forró Perfeito
1007,Criolina
1008,Lutre
1009,J Brasil
1010,Nando Moura
1011,Cabeza de Panda
1012,Katu Mirim
1013,Ana Cláudia Lomelino
1014,Irio De Paula
1015,Zero 21
1016,Vinny Nogueira
1017,Sergio Ricardo
1018,ÈKÓ Afrobeat
1019,Joana Queiroz
1020,Alambradas
1021,Mc Romeu
1022,Rodrigo Lessa
1023,Contando Bicicletas
1024,Tim Rescala
1025,Eliane Fernandes
1026,Marcus Tardelli
1027,Alberto Nepomuceno
1028,Geraldinho Lins
1029,G.R.E.S. Portela
1030,Mauro Diniz
1031,Lucas Gonçalves
1032,Jay Horsth
1033,OZU
1034,MC Nerak
1035,Sereno
1036,NEVOEIRO FAIXA PRETA
1037,AOM
1038,Núria Mallena
1039,Júlio Nascimento
1040,Anastácia
1041,Overdriver Duo
1042,João Ricardo
1043,KRYARTURA
1044,Kross
1045,Chocolate Da Bahia
1046,ElevenWAV
1047,Bento
1048,Inumanos
1049,Babado Novo e CPM 22
1050,Kryour
1051,Celso Salim
1052,Medrado
1053,Axé Blond
1054,Lívia neves
1055,Sandro Lucio
1056,Astromato
1057,Ito Melodia
1058,Celso Portiolli
1059,Titãs & Paralamas
1060,Robinho
1061,Nega do babado
1062,mumutante
1063,Dois Irmaos Feat. Mariana De Moraes
1064,The Far Out Monster Disco Orchestra
1065,OElefante
1066,MACUMBIA
1067,Felipe S
1068,Applegate
1069,Rubinho E Mauro Assumpção
1070,Gods & Punks
1071,Couple Coffee
1072,Renato Fechine
1073,CHICLETE FERREIRA
1074,Mauricio Reis
1075,SORRIZO RONALDO
1076,Vinícius & Toquinho
1077,ID2
1078,Baddon
1079,Liträo
1080,Jan Felipe
1081,Sabrina Sanm
1082,Theo Rios
1083,Os Caras & Carol
1084,Jumentaparida
1085,Egberto Gismonti Group
1086,Karollina
1087,DJ J2
1088,DJ Tudo
1089,Fernanda
1090,O Peso
1091,fogo no pé
1092,Andre Mehmari
1093,Bandini
1094,Dj Rodrigo Campos
1095,MC Rah
1096,Marujo Cogumelo
1097,Banda 100 Parêa
1098,Saulo Roston
1099,Mister Lúdico e os Morféticos
1100,Celso Sim
1101,Olivia Hime
1102,DJ Azeitona
1103,Cangaia de Jegue
1104,Colaterall
1105,Ricardo Marrero
1106,1/2 Dúzia de 3 ou 4
1107,Brasil Guitar Duo
1108,Cardamomo
1109,Qua$imorto
1110,Mc Alexandre
1111,Amarelo Manga
1112,O Clone
1113,Beat Boys
1114,Bebeco Garcia
1115,MC Suave
1116,PSYCHODELIC FARM
1117,Gabriel Guedes
1118,Chapa Mamba
1119,Os Fagundes
1120,YTPBR
1121,Shirley Carvalho
1122,Namastê
1123,Hellena
1124,Marcelo Costa
1125,Tom Jobim & Caymmi
1126,BOPE
1127,Gustavo Galo
1128,Léa Freire
1129,MC POZE
1130,Gus Levy
1131,Arlindinho
1132,Vieira e Seu Conjunto
1133,Dj Paulinho Unico
1134,Radiotape
1135,Lasciva Lula
1136,Ivon Curi
1137,Naurêa
1138,Zoe Lilly
1139,Gero Camilo
1140,Joyce Silva
1141,Marcia Maria
1142,MC Duartt
1143,Ton Oliveira
1144,Subversivos
1145,DJ EVERTON DETONA
1146,Trio Chapahall's
1147,Tunna
1148,André Geraissati
1149,G.R.E.S. Beija Flor De Nilópolis
1150,2FACE
1151,Fernando Brant
1152,Dona Joana
1153,Tiago Abravanel
1154,Cama de Gato
1155,Paulo Mac
1156,Be Ignacio
1157,MANOEL CORDEIRO
1158,player tauz
1159,Gilmelândia
1160,Letieres Leite & Orkestra Rumpilezz
1161,Trevo
1162,Maestro Tiquinho
1163,Ilú Obá de Min
1164,LABORATORI
1165,Rafa Jazz
1166,Tom Jobim e Elis Regina
1167,Nico Nicolaiewsky
1168,Chad Farran
1169,Zé Felipe & Miguel
1170,MAsm
1171,Marco Antônio Guimarães
1172,Lenine e Marcelo D2
1173,Astrud Gilberto & Stan Getz
1174,Cidade Cemitério
1175,BANDA ARK
1176,Nando Reis e Cachorro Grande
1177,José Maurício Nunes Garcia
1178,Trio Xamego
1179,Ira e Pitty
1180,Eletrobossa
1181,Monsters at Work
1182,Take Me
1183,The G/9 Group
1184,Tintapreta
1185,Baiano & Os Novos Caetanos
1186,Funmilayo Afrobeat Orquestra
1187,Xangô Da Mangueira
1188,Spacestar
1189,Os Muiraquitãns
1190,Fim Da Aurora
1191,Os Novos Crioulos
1192,Bab & Rolando 808
1193,As Marcianas
1194,Kleo Dibah e Rafael
1195,Novos Baianos
1196,Brother Simion
1197,Fred Martins
1198,Nelson Nascimento
1199,Abreu Project
1200,Morelenbaum² / Sakamoto
1201,W7 MARTINS
1202,Pipodélica
1203,Letícia Araújo
1204,Integra
1205,Teddy Max
1206,Duas Medidas
1207,Humble Star
1208,Wesley Safadão & Banda Garota Safada
1209,Tôco
1210,PABLO DO ARROCHA
1211,Benedito Costa
1212,Não Ouça Vozes Alheias
1213,Juninho Thybau
1214,Ricardo Richaid
1215,Lamartine Babo
1216,Pagod'art
1217,Sky Love Do Forró
1218,Mc Malvadeza
1219,Laren
1220,Alice Marcone
1221,Quazimorto
1222,HYPERBAILE
